ID_XLH,ADRESSE_3,ADRESSE_4
AG01010001,354 ROUTE DE SORE,40430 ARGELOUSE
AG01010002,370 ROUTE DE SORE,40430 ARGELOUSE
AG01010003,408 ROUTE DE SORE,40430 ARGELOUSE
AG01010004,416 ROUTE DE SORE,40430 ARGELOUSE
AI02010001,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02010002,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02010003,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02010004,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02010005,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02010006,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02010007,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02010008,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02010009,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02010010,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02010011,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02010012,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02020001,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02020002,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02020003,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02020004,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02020005,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02020006,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02020007,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02020008,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02030001,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02030002,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02030003,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02030004,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02030005,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02030006,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02030007,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02030008,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02030009,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02030010,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02030011,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02030012,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02040001,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02040002,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02040003,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02040004,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02040005,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02040006,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02040007,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02040008,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02050001,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02050002,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02050003,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02050004,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02050005,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02050006,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02050007,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02050008,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02050009,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02050010,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
AI02050011,AVENUE DES TILLEULS,40800 AIRE-SUR-L'ADOUR
