numero,rep,nom_voie,code_postal,nom_commune
200,,Route de Garrey,40990,Angoumé
202,,Route de Garrey,40990,Angoumé
204,,Route de Garrey,40990,Angoumé
206,,Route de Garrey,40990,Angoumé
208,,Route de Garrey,40990,Angoumé
200,,Route de Pelvezin,40990,Angoumé
202,,Route de Pelvezin,40990,Angoumé
204,,Route de Pelvezin,40990,Angoumé
206,,Route de Pelvezin,40990,Angoumé
208,,Route de Pelvezin,40990,Angoumé
500,,Route de Pelvezin,40990,Angoumé
510,,Route de Pelvezin,40990,Angoumé
596,,Route de Pelvezin,40990,Angoumé
599,,Route de Pelvezin,40990,Angoumé
96,,Rue Gracian,40990,Angoumé
105,,Rue Gracian,40990,Angoumé
116,,Rue Gracian,40990,Angoumé
137,,Rue Gracian,40990,Angoumé
147,,Rue Gracian,40990,Angoumé
149,,Rue Gracian,40990,Angoumé
167,,Rue Gracian,40990,Angoumé
169,,Rue Gracian,40990,Angoumé
183,,Rue Gracian,40990,Angoumé
197,,Rue Gracian,40990,Angoumé
202,,Rue Gracian,40990,Angoumé
251,,Rue Gracian,40990,Angoumé
256,,Rue Gracian,40990,Angoumé
280,,Rue Gracian,40990,Angoumé
340,,Rue Gracian,40990,Angoumé
341,,Rue Gracian,40990,Angoumé
348,,Rue Gracian,40990,Angoumé
360,,Rue Gracian,40990,Angoumé
361,,Rue Gracian,40990,Angoumé
381,,Rue Gracian,40990,Angoumé
403,,Rue Gracian,40990,Angoumé
406,,Rue Gracian,40990,Angoumé
425,,Rue Gracian,40990,Angoumé
444,,Rue Gracian,40990,Angoumé
449,,Rue Gracian,40990,Angoumé
468,,Rue Gracian,40990,Angoumé
469,,Rue Gracian,40990,Angoumé
497,,Rue Gracian,40990,Angoumé
597,,Rue Gracian,40990,Angoumé
633,,Rue Gracian,40990,Angoumé
654,,Rue Gracian,40990,Angoumé
666,,Rue Gracian,40990,Angoumé
689,,Rue Gracian,40990,Angoumé
690,,Rue Gracian,40990,Angoumé
715,,Rue Gracian,40990,Angoumé
745,,Rue Gracian,40990,Angoumé
790,,Rue Gracian,40990,Angoumé
800,,Rue Gracian,40990,Angoumé
817,,Rue Gracian,40990,Angoumé
820,,Rue Gracian,40990,Angoumé
873,,Rue Gracian,40990,Angoumé
914,,Rue Gracian,40990,Angoumé
962,,Rue Gracian,40990,Angoumé
993,,Rue Gracian,40990,Angoumé
1018,,Rue Gracian,40990,Angoumé
1025,,Rue Gracian,40990,Angoumé
1047,,Rue Gracian,40990,Angoumé
1060,,Rue Gracian,40990,Angoumé
1100,,Rue Gracian,40990,Angoumé
1110,,Rue Gracian,40990,Angoumé
1180,,Rue Gracian,40990,Angoumé
154,,Route de Mées,40990,Angoumé
175,,Route de Mées,40990,Angoumé
190,,Route de Mées,40990,Angoumé
192,,Route de Mées,40990,Angoumé
194,,Route de Mées,40990,Angoumé
196,,Route de Mées,40990,Angoumé
97,,Impasse Mançanille,40990,Angoumé
125,,Impasse Mançanille,40990,Angoumé
135,,Impasse Mançanille,40990,Angoumé
137,,Impasse Mançanille,40990,Angoumé
157,,Impasse Mançanille,40990,Angoumé
159,,Impasse Mançanille,40990,Angoumé
191,,Impasse Mançanille,40990,Angoumé
193,,Impasse Mançanille,40990,Angoumé
23,,Route du Potier,40990,Angoumé
24,,Route du Potier,40990,Angoumé
48,,Route du Potier,40990,Angoumé
74,,Route du Potier,40990,Angoumé
80,,Route du Potier,40990,Angoumé
85,,Route du Potier,40990,Angoumé
87,,Route du Potier,40990,Angoumé
89,,Route du Potier,40990,Angoumé
91,,Route du Potier,40990,Angoumé
97,,Route du Potier,40990,Angoumé
125,,Route du Potier,40990,Angoumé
135,,Route du Potier,40990,Angoumé
137,,Route du Potier,40990,Angoumé
139,,Route du Potier,40990,Angoumé
