id,numero,rep,nom_voie,code_postal,nom_commune
40003_lq6ysx_00200,200,,Route de Garrey,40990,Angoumé
40003_lq6ysx_00202,202,,Route de Garrey,40990,Angoumé
40003_lq6ysx_00204,204,,Route de Garrey,40990,Angoumé
40003_lq6ysx_00206,206,,Route de Garrey,40990,Angoumé
40003_lq6ysx_00208,208,,Route de Garrey,40990,Angoumé
40003_0115_00200,200,,Route de Pelvezin,40990,Angoumé
40003_0115_00202,202,,Route de Pelvezin,40990,Angoumé
40003_0115_00204,204,,Route de Pelvezin,40990,Angoumé
40003_0115_00206,206,,Route de Pelvezin,40990,Angoumé
40003_0115_00208,208,,Route de Pelvezin,40990,Angoumé
40003_0115_00500,500,,Route de Pelvezin,40990,Angoumé
40003_0115_00510,510,,Route de Pelvezin,40990,Angoumé
40003_0115_00596,596,,Route de Pelvezin,40990,Angoumé
40003_0115_00599,599,,Route de Pelvezin,40990,Angoumé
40003_0045_00096,96,,Rue Gracian,40990,Angoumé
40003_0045_00105,105,,Rue Gracian,40990,Angoumé
40003_0045_00116,116,,Rue Gracian,40990,Angoumé
40003_0045_00137,137,,Rue Gracian,40990,Angoumé
40003_0045_00147,147,,Rue Gracian,40990,Angoumé
40003_0045_00149,149,,Rue Gracian,40990,Angoumé
40003_0045_00167,167,,Rue Gracian,40990,Angoumé
40003_0045_00169,169,,Rue Gracian,40990,Angoumé
40003_0045_00183,183,,Rue Gracian,40990,Angoumé
40003_0045_00197,197,,Rue Gracian,40990,Angoumé
40003_0045_00202,202,,Rue Gracian,40990,Angoumé
40003_0045_00251,251,,Rue Gracian,40990,Angoumé
40003_0045_00256,256,,Rue Gracian,40990,Angoumé
40003_0045_00280,280,,Rue Gracian,40990,Angoumé
40003_0045_00340,340,,Rue Gracian,40990,Angoumé
40003_0045_00341,341,,Rue Gracian,40990,Angoumé
40003_0045_00348,348,,Rue Gracian,40990,Angoumé
40003_0045_00360,360,,Rue Gracian,40990,Angoumé
40003_0045_00361,361,,Rue Gracian,40990,Angoumé
40003_0045_00381,381,,Rue Gracian,40990,Angoumé
40003_0045_00403,403,,Rue Gracian,40990,Angoumé
40003_0045_00406,406,,Rue Gracian,40990,Angoumé
40003_0045_00425,425,,Rue Gracian,40990,Angoumé
40003_0045_00444,444,,Rue Gracian,40990,Angoumé
40003_0045_00449,449,,Rue Gracian,40990,Angoumé
40003_0045_00468,468,,Rue Gracian,40990,Angoumé
40003_0045_00469,469,,Rue Gracian,40990,Angoumé
40003_0045_00497,497,,Rue Gracian,40990,Angoumé
40003_0045_00597,597,,Rue Gracian,40990,Angoumé
40003_0045_00633,633,,Rue Gracian,40990,Angoumé
40003_0045_00654,654,,Rue Gracian,40990,Angoumé
40003_0045_00666,666,,Rue Gracian,40990,Angoumé
40003_0045_00689,689,,Rue Gracian,40990,Angoumé
40003_0045_00690,690,,Rue Gracian,40990,Angoumé
40003_0045_00715,715,,Rue Gracian,40990,Angoumé
40003_0045_00745,745,,Rue Gracian,40990,Angoumé
40003_0045_00790,790,,Rue Gracian,40990,Angoumé
40003_0045_00800,800,,Rue Gracian,40990,Angoumé
40003_0045_00817,817,,Rue Gracian,40990,Angoumé
40003_0045_00820,820,,Rue Gracian,40990,Angoumé
40003_0045_00873,873,,Rue Gracian,40990,Angoumé
40003_0045_00914,914,,Rue Gracian,40990,Angoumé
40003_0045_00962,962,,Rue Gracian,40990,Angoumé
40003_0045_00993,993,,Rue Gracian,40990,Angoumé
40003_0045_01018,1018,,Rue Gracian,40990,Angoumé
40003_0045_01025,1025,,Rue Gracian,40990,Angoumé
40003_0045_01047,1047,,Rue Gracian,40990,Angoumé
40003_0045_01060,1060,,Rue Gracian,40990,Angoumé
40003_0045_01100,1100,,Rue Gracian,40990,Angoumé
40003_0045_01110,1110,,Rue Gracian,40990,Angoumé
40003_0045_01180,1180,,Rue Gracian,40990,Angoumé
40003_0085_00154,154,,Route de Mées,40990,Angoumé
40003_0085_00175,175,,Route de Mées,40990,Angoumé
40003_0085_00190,190,,Route de Mées,40990,Angoumé
40003_0085_00192,192,,Route de Mées,40990,Angoumé
40003_0085_00194,194,,Route de Mées,40990,Angoumé
40003_0085_00196,196,,Route de Mées,40990,Angoumé
40003_0080_00097,97,,Impasse Mançanille,40990,Angoumé
40003_0080_00125,125,,Impasse Mançanille,40990,Angoumé
40003_0080_00135,135,,Impasse Mançanille,40990,Angoumé
40003_0080_00137,137,,Impasse Mançanille,40990,Angoumé
40003_0080_00157,157,,Impasse Mançanille,40990,Angoumé
40003_0080_00159,159,,Impasse Mançanille,40990,Angoumé
40003_0080_00191,191,,Impasse Mançanille,40990,Angoumé
40003_0080_00193,193,,Impasse Mançanille,40990,Angoumé
40003_0120_00023,23,,Route du Potier,40990,Angoumé
40003_0120_00024,24,,Route du Potier,40990,Angoumé
40003_0120_00048,48,,Route du Potier,40990,Angoumé
40003_0120_00074,74,,Route du Potier,40990,Angoumé
40003_0120_00080,80,,Route du Potier,40990,Angoumé
40003_0120_00085,85,,Route du Potier,40990,Angoumé
40003_0120_00087,87,,Route du Potier,40990,Angoumé
40003_0120_00089,89,,Route du Potier,40990,Angoumé
40003_0120_00091,91,,Route du Potier,40990,Angoumé
40003_0120_00097,97,,Route du Potier,40990,Angoumé
40003_0120_00125,125,,Route du Potier,40990,Angoumé
40003_0120_00135,135,,Route du Potier,40990,Angoumé
40003_0120_00137,137,,Route du Potier,40990,Angoumé
40003_0120_00139,139,,Route du Potier,40990,Angoumé
40003_0120_00157,157,,Route du Potier,40990,Angoumé
40003_0120_00159,159,,Route du Potier,40990,Angoumé
40003_0120_00191,191,,Route du Potier,40990,Angoumé
40003_0120_00455,455,,Route du Potier,40990,Angoumé
40003_0120_00522,522,,Route du Potier,40990,Angoumé
40003_0120_00552,552,,Route du Potier,40990,Angoumé
40003_0120_00715,715,,Route du Potier,40990,Angoumé
40003_0120_00730,730,,Route du Potier,40990,Angoumé
40003_0120_00552_b,552,b,Route du Potier,40990,Angoumé
40003_0120_00552_a,552,a,Route du Potier,40990,Angoumé
40003_0120_00139_bis,139,bis,Route du Potier,40990,Angoumé
40003_0120_00085_bis,85,bis,Route du Potier,40990,Angoumé
40003_0140_01080,1080,,Route Forestiere de la Tourbiere,40990,Angoumé
40003_0140_01082,1082,,Route Forestiere de la Tourbiere,40990,Angoumé
40003_0070_00011,11,,Avenue Alphonse Louis,40990,Angoumé
40003_0070_00020,20,,Avenue Alphonse Louis,40990,Angoumé
40003_0070_00022,22,,Avenue Alphonse Louis,40990,Angoumé
40003_0070_00023,23,,Avenue Alphonse Louis,40990,Angoumé
40003_0035_00016,16,,Route du Chateau d'Eau,40990,Angoumé
40003_0035_00055,55,,Route du Chateau d'Eau,40990,Angoumé
40003_0035_00055_x,55,x,Route du Chateau d'Eau,40990,Angoumé
40003_0035_00016_f,16,f,Route du Chateau d'Eau,40990,Angoumé
40003_0130_00280,280,,Route de Rivière,40990,Angoumé
40003_0130_00348,348,,Route de Rivière,40990,Angoumé
40003_0130_00490,490,,Route de Rivière,40990,Angoumé
40003_0130_00500,500,,Route de Rivière,40990,Angoumé
