ID_XLH,ADRESSE_3,ADRESSE_4
AG01010001,354 ROUTE DE SORE,40430 ARGELOUSE
AG01010002,370 ROUTE DE SORE,40430 ARGELOUSE
AG01010003,408 ROUTE DE SORE,40430 ARGELOUSE
AG01010004,416 ROUTE DE SORE,40430 ARGELOUSE
AI11010001,69 AVENUE DE BORDEAUX,40800 AIRE-SUR-L'ADOUR
AI11010002,69 BIS AVENUE DE BORDEAUX,40800 AIRE-SUR-L'ADOUR
AI11010003,71 AVENUE DE BORDEAUX,40800 AIRE-SUR-L'ADOUR
AI11010004,71 BIS AVENUE DE BORDEAUX,40800 AIRE-SUR-L'ADOUR
AI11010005,73 AVENUE DE BORDEAUX,40800 AIRE-SUR-L'ADOUR
AI11010006,73 BIS AVENUE DE BORDEAUX,40800 AIRE-SUR-L'ADOUR
AI11010007,75 AVENUE DE BORDEAUX,40800 AIRE-SUR-L'ADOUR
AI11010008,75 BIS AVENUE DE BORDEAUX,40800 AIRE-SUR-L'ADOUR
AI12010001,96 CHEMIN DE PERROT,40800 AIRE-SUR-L'ADOUR
AI12010002,114 CHEMIN DE PERROT,40800 AIRE-SUR-L'ADOUR
AI12010003,126 CHEMIN DE PERROT,40800 AIRE-SUR-L'ADOUR
AI12010004,140 CHEMIN DE PERROT,40800 AIRE-SUR-L'ADOUR
AI12010005,168 CHEMIN DE PERROT,40800 AIRE-SUR-L'ADOUR
AI12010006,170 CHEMIN DE PERROT,40800 AIRE-SUR-L'ADOUR
AI12010007,65 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI12010008,67 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI12010009,61 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI12010010,63 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI12010011,59 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI12010012,57 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI12010013,58 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI12010014,60 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI12010015,62 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI12010016,64 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI12010017,66 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI12010018,68 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI12010019,70 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI12010020,72 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI12010021,74 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI12010022,76 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI12010023,250 CHEMIN DE PERROT,40800 AIRE-SUR-L'ADOUR
AI12010024,242 CHEMIN DE PERROT,40800 AIRE-SUR-L'ADOUR
AI14010001,56 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI14010002,54 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI14010005,44 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI14010006,39 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI14010007,41 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI14010010,47 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI14010011,49 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI14010012,51 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI14010013,53 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI14010014,55 RUE DU SOUVENIR FRANCAIS,40800 AIRE-SUR-L'ADOUR
AI15010001,50 AVENUE DE BORDEAUX,40800 AIRE-SUR-L'ADOUR
AI15010002,50 BIS AVENUE DE BORDEAUX,40800 AIRE-SUR-L'ADOUR
