,dataset,method,precision,recall,f1,duration,cpu-energy,cpu-power,gpu-energy,gpu-power,ram-energy,ram-power,total-energy,normalised-runtime,normalised-energy,size_el,normalised-energy-log
0,1-amazon_google,JedAI,0.63,0.7,0.66,6.79,4.92,1.23,0,0,29.45,3.68,34.37,0,0.01,4589,-2.12553852555743
1,2-fordors_zagats,JedAI,0.61,1,0.76,4.25,1.14,0.38,0,0,17.41,3.48,18.55,0,0.02,864,-1.66816982852783
2,3-beer,JedAI,0.02,0.87,0.05,8.85,11.3,1.88,0,0,42.19,4.22,53.49,0,0.01,7345,-2.13771920223126
3,4-dblp_acm,JedAI,0.98,0.99,0.98,9.93,9.04,1.51,0,0,48.1,4.37,57.14,0,0.01,4589,-1.90477782164794
4,5-dblp_acm-noisy,JedAI,0.97,0.99,0.98,10.66,15.35,2.19,0,0,49.69,4.14,65.04,0,0.01,4910,-1.87790095953696
5,6-dblp_scholar,JedAI,0.92,0.44,0.59,493.6,792.78,2.94,0,0,1390.54,2.93,2183.32,0.01,0.03,66879,-1.48617237766084
6,7-dblp_scholar-noisy,JedAI,0.91,0.44,0.59,390.82,817.72,3.77,0,0,1150.43,3.06,1968.15,0.01,0.03,66879,-1.53123157619738
7,8-itunes_amazon,JedAI,0,0.16,0.01,512.92,987.65,3.49,0,0,2590.98,5.24,3578.63,0.01,0.05,69737,-1.28974646228323
8,9-itunes_amazon-noisy,JedAI,0.01,0.19,0.01,726.69,1417.77,3.54,0,0,3743.91,5.36,5161.68,0.01,0.07,69737,-1.13067218380984
9,10-walmart_amazon,JedAI,0.34,0.81,0.48,46.3,73.61,2.83,0,0,205.41,4.47,279.02,0,0.01,24628,-1.94579381054072
10,11-walmart_amazon-noisy,JedAI,0.33,0.8,0.47,47.37,80.8,2.99,0,0,211.93,4.51,292.73,0,0.01,24628,-1.92496191217881
11,12-movie,JedAI,0.9,0.97,0.93,214.71,414.36,3.51,0,0,733.02,3.54,1147.38,0,0.02,49875,-1.63817563327679
